ranker,params,ap,ndcg
piv,b=0.05,0.816580179080179,0.7278950324439921
piv,b=0.1,0.8878052503052503,0.7839681643956146
piv,b=0.15000000000000002,0.9083333333333332,0.8018284385619453
piv,b=0.2,0.8681972789115645,0.8094879595196576
piv,b=0.25,0.8620748299319727,0.8075187469814209
piv,b=0.3,0.899078798185941,0.8052323419679088
piv,b=0.35000000000000003,0.8543386243386242,0.8160956952961872
piv,b=0.4,0.8720370370370369,0.8100528026610715
piv,b=0.45,0.883234126984127,0.7727191825470545
piv,b=0.5,0.8244620811287476,0.770649986668394
piv,b=0.55,0.7700176366843032,0.7383776742900127
piv,b=0.6000000000000001,0.8178146258503401,0.7131774557398955
piv,b=0.6500000000000001,0.7478741496598639,0.6589133779575379
piv,b=0.7000000000000001,0.6442989417989418,0.6403852818881653
piv,b=0.7500000000000001,0.6299779541446209,0.6074193440833014
piv,b=0.8,0.6627594627594627,0.544639626515588
piv,b=0.8500000000000001,0.6796031746031747,0.4885458872632247
piv,b=0.9000000000000001,0.7133549783549783,0.4246106583639183
piv,b=0.9500000000000001,0.673953823953824,0.41048562820968076
