ranker,params,ap,ndcg
bm25_v1,"k1=0.4, b=0.6",0.8229700854700857,0.7357837401940621
bm25_v1,"k1=0.4, b=0.65",0.8229700854700857,0.7357837401940621
bm25_v1,"k1=0.4, b=0.7000000000000001",0.8229700854700857,0.7357837401940621
bm25_v1,"k1=0.4, b=0.7500000000000001",0.8229700854700857,0.7357837401940621
bm25_v1,"k1=0.4, b=0.8000000000000002",0.8229700854700857,0.7357837401940621
bm25_v1,"k1=0.4, b=0.8500000000000002",0.8229700854700857,0.7357837401940621
bm25_v1,"k1=0.4, b=0.9000000000000002",0.8229700854700857,0.7357837401940621
bm25_v1,"k1=0.6000000000000001, b=0.6",0.7973290598290599,0.7289788134373653
bm25_v1,"k1=0.6000000000000001, b=0.65",0.7973290598290599,0.7289788134373653
bm25_v1,"k1=0.6000000000000001, b=0.7000000000000001",0.7973290598290599,0.7289788134373653
bm25_v1,"k1=0.6000000000000001, b=0.7500000000000001",0.7973290598290599,0.7289788134373653
bm25_v1,"k1=0.6000000000000001, b=0.8000000000000002",0.7973290598290599,0.7289788134373653
bm25_v1,"k1=0.6000000000000001, b=0.8500000000000002",0.7973290598290599,0.7289788134373653
bm25_v1,"k1=0.6000000000000001, b=0.9000000000000002",0.7973290598290599,0.7289788134373653
bm25_v1,"k1=0.8000000000000002, b=0.6",0.781364468864469,0.7067200240759449
bm25_v1,"k1=0.8000000000000002, b=0.65",0.781364468864469,0.7067200240759449
bm25_v1,"k1=0.8000000000000002, b=0.7000000000000001",0.781364468864469,0.7067200240759449
bm25_v1,"k1=0.8000000000000002, b=0.7500000000000001",0.781364468864469,0.7067200240759449
bm25_v1,"k1=0.8000000000000002, b=0.8000000000000002",0.781364468864469,0.7067200240759449
bm25_v1,"k1=0.8000000000000002, b=0.8500000000000002",0.781364468864469,0.7067200240759449
bm25_v1,"k1=0.8000000000000002, b=0.9000000000000002",0.781364468864469,0.7067200240759449
bm25_v1,"k1=1.0000000000000002, b=0.6",0.7920482295482295,0.7173142172137972
bm25_v1,"k1=1.0000000000000002, b=0.65",0.7920482295482295,0.7173142172137972
bm25_v1,"k1=1.0000000000000002, b=0.7000000000000001",0.7920482295482295,0.7173142172137972
bm25_v1,"k1=1.0000000000000002, b=0.7500000000000001",0.7920482295482295,0.7173142172137972
bm25_v1,"k1=1.0000000000000002, b=0.8000000000000002",0.7920482295482295,0.7173142172137972
bm25_v1,"k1=1.0000000000000002, b=0.8500000000000002",0.7920482295482295,0.7173142172137972
bm25_v1,"k1=1.0000000000000002, b=0.9000000000000002",0.7920482295482295,0.7173142172137972
bm25_v1,"k1=1.2000000000000002, b=0.6",0.7753408628408629,0.7092488003382572
bm25_v1,"k1=1.2000000000000002, b=0.65",0.7753408628408629,0.7092488003382572
bm25_v1,"k1=1.2000000000000002, b=0.7000000000000001",0.7753408628408629,0.7092488003382572
bm25_v1,"k1=1.2000000000000002, b=0.7500000000000001",0.7753408628408629,0.7092488003382572
bm25_v1,"k1=1.2000000000000002, b=0.8000000000000002",0.7753408628408629,0.7092488003382572
bm25_v1,"k1=1.2000000000000002, b=0.8500000000000002",0.7753408628408629,0.7092488003382572
bm25_v1,"k1=1.2000000000000002, b=0.9000000000000002",0.7753408628408629,0.7092488003382572
bm25_v1,"k1=1.4000000000000004, b=0.6",0.7753408628408629,0.7113172029914573
bm25_v1,"k1=1.4000000000000004, b=0.65",0.7753408628408629,0.7113172029914573
bm25_v1,"k1=1.4000000000000004, b=0.7000000000000001",0.7753408628408629,0.7113172029914573
bm25_v1,"k1=1.4000000000000004, b=0.7500000000000001",0.7753408628408629,0.7113172029914573
bm25_v1,"k1=1.4000000000000004, b=0.8000000000000002",0.7753408628408629,0.7113172029914573
bm25_v1,"k1=1.4000000000000004, b=0.8500000000000002",0.7753408628408629,0.7113172029914573
bm25_v1,"k1=1.4000000000000004, b=0.9000000000000002",0.7753408628408629,0.7113172029914573
bm25_v1,"k1=1.6000000000000005, b=0.6",0.7746794871794871,0.6951632394606958
bm25_v1,"k1=1.6000000000000005, b=0.65",0.7746794871794871,0.6951632394606958
bm25_v1,"k1=1.6000000000000005, b=0.7000000000000001",0.7746794871794871,0.6951632394606958
bm25_v1,"k1=1.6000000000000005, b=0.7500000000000001",0.7746794871794871,0.6951632394606958
bm25_v1,"k1=1.6000000000000005, b=0.8000000000000002",0.7746794871794871,0.6951632394606958
bm25_v1,"k1=1.6000000000000005, b=0.8500000000000002",0.7746794871794871,0.6951632394606958
bm25_v1,"k1=1.6000000000000005, b=0.9000000000000002",0.7746794871794871,0.6951632394606958
bm25_v1,"k1=1.8000000000000003, b=0.6",0.7488247863247863,0.6844894018468285
bm25_v1,"k1=1.8000000000000003, b=0.65",0.7488247863247863,0.6844894018468285
bm25_v1,"k1=1.8000000000000003, b=0.7000000000000001",0.7488247863247863,0.6844894018468285
bm25_v1,"k1=1.8000000000000003, b=0.7500000000000001",0.7488247863247863,0.6844894018468285
bm25_v1,"k1=1.8000000000000003, b=0.8000000000000002",0.7488247863247863,0.6844894018468285
bm25_v1,"k1=1.8000000000000003, b=0.8500000000000002",0.7488247863247863,0.6844894018468285
bm25_v1,"k1=1.8000000000000003, b=0.9000000000000002",0.7488247863247863,0.6844894018468285
