ranker,params,ap,ndcg
tsl,mu=2200,0.9091269841269841,0.6284189315531868
tsl,mu=2400,0.9126984126984127,0.6320974109827896
tsl,mu=2600,0.9216269841269842,0.6416835985089214
tsl,mu=2800,0.9216269841269842,0.6416835985089214
tsl,mu=3000,0.9424603174603176,0.6750169318422546
tsl,mu=3200,0.9424603174603176,0.6750169318422546
tsl,mu=3400,0.9841269841269842,0.6750169318422546
tsl,mu=3600,0.9841269841269842,0.6750169318422546
tsl,mu=3800,0.9841269841269842,0.6750169318422546
tsl,mu=4000,0.9841269841269842,0.6750169318422546
